City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Qaqortoq,GL,60.7167,-46.0333,47.43,88,100,7.67,overcast clouds
222,Yarmouth,US,41.7057,-70.2286,65.98,65,0,5.75,clear sky
223,Chuy,UY,-33.6971,-53.4616,58.59,76,80,13.56,broken clouds
224,Mecca,SA,21.4267,39.8261,84.61,42,74,1.61,broken clouds
225,Lyubytino,RU,58.8122,33.3922,50.45,91,76,10.38,broken clouds
226,Cabinda,AO,-5.55,12.2,73.83,85,85,4.45,overcast clouds
227,Belyy Yar,RU,53.6039,91.3903,35.85,80,0,0.0,clear sky
228,Bredasdorp,ZA,-34.5322,20.0403,52.66,78,100,3.2,overcast clouds
229,Iralaya,HN,15.0,-83.2333,79.03,88,100,8.41,overcast clouds
230,Kamenka,RU,51.3223,42.7678,57.6,60,84,7.11,broken clouds
231,Maniitsoq,GL,65.4167,-52.9,46.58,87,100,11.05,overcast clouds
232,Lethem,GY,3.3803,-59.7968,79.83,73,94,3.2,overcast clouds
233,Santa,PH,17.486,120.4348,77.68,83,24,4.23,few clouds
234,Palmer,US,42.1584,-72.3287,68.61,64,20,10.36,few clouds
235,Muros,ES,42.7762,-9.0603,69.84,78,100,6.6,overcast clouds
236,Bow Island,CA,49.8668,-111.3684,69.48,32,2,2.3,clear sky
237,Poum,NC,-20.2333,164.0167,75.49,68,0,12.1,clear sky
238,Rawson,AR,-43.3002,-65.1023,45.77,69,41,17.81,scattered clouds
239,Yerbogachen,RU,61.2767,108.0108,29.25,72,2,3.89,clear sky
240,Buin,CL,-33.7333,-70.75,59.32,86,81,4.74,broken clouds
241,Grand Forks,US,47.9417,-97.4337,64.13,82,20,11.5,few clouds
242,Skjervoy,NO,70.0311,20.9714,46.4,84,100,7.47,light rain
243,Abancay,PE,-13.6339,-72.8814,66.24,56,33,7.2,scattered clouds
244,Labuan,MY,5.2767,115.2417,75.56,100,40,0.0,scattered clouds
245,Tezu,IN,27.9167,96.1667,73.98,94,94,3.09,overcast clouds
246,Caravelas,BR,-17.7125,-39.2481,67.93,78,100,12.5,overcast clouds
247,Poronaysk,RU,49.2167,143.1167,49.48,96,100,9.15,overcast clouds
248,Victoria,HK,22.2855,114.1577,87.19,82,88,5.99,overcast clouds
249,Kieta,PG,-6.2167,155.6333,84.96,68,89,5.1,light rain
250,La Ronge,CA,55.1001,-105.2842,66.42,48,75,8.05,broken clouds
251,Rio Grande,BR,-32.035,-52.0986,60.94,79,87,18.75,overcast clouds
252,Montepuez,MZ,-13.1256,38.9997,65.41,80,6,5.95,clear sky
253,Calama,CL,-22.4667,-68.9333,64.89,9,20,24.16,few clouds
254,Shiyan,CN,32.6475,110.7781,70.54,88,100,3.4,overcast clouds
255,Codrington,AU,-38.2667,141.9667,50.59,83,100,17.22,overcast clouds
256,Longyearbyen,SJ,78.2186,15.6401,30.04,86,75,9.22,broken clouds
257,Mendi,PG,-6.1761,143.6513,64.62,56,99,0.38,overcast clouds
258,Santa Rosa,PH,14.3122,121.1114,79.11,84,100,4.97,overcast clouds
259,Oranjemund,NA,-28.55,16.4333,54.64,93,89,13.0,overcast clouds
260,Catalao,BR,-18.1658,-47.9464,74.32,53,62,6.82,broken clouds
261,Vestmanna,FO,62.1564,-7.1664,45.52,93,100,2.3,overcast clouds
262,Novobiryusinskiy,RU,56.9578,97.7076,39.38,93,44,0.72,scattered clouds
263,Ferme-Neuve,CA,46.7001,-75.4493,54.16,85,100,4.03,overcast clouds
264,Vestmannaeyjar,IS,63.4427,-20.2734,49.28,78,91,19.24,overcast clouds
265,Clyde River,CA,70.4692,-68.5914,34.03,93,100,12.66,fog
266,Great Yarmouth,GB,52.6083,1.7305,52.41,69,71,14.41,broken clouds
267,Morant Bay,JM,17.8815,-76.4093,78.42,81,33,5.01,scattered clouds
268,Hambantota,LK,6.1241,81.1185,78.85,79,100,14.47,overcast clouds
269,Cheremukhovo,RU,60.3484,59.9851,50.58,96,100,8.19,light rain
270,Adiake,CI,5.2863,-3.304,74.37,94,61,5.66,broken clouds
271,Esperance,AU,-33.8667,121.9,53.38,88,35,7.94,scattered clouds
272,Naze,JP,28.3667,129.4833,77.92,91,100,38.27,moderate rain
273,Aljezur,PT,37.3191,-8.8033,68.0,86,49,3.94,scattered clouds
274,Vostok,RU,46.4856,135.8833,58.14,95,100,2.15,moderate rain
275,Cascais,PT,38.6979,-9.4215,73.94,79,40,15.99,scattered clouds
276,Hit,IQ,33.6416,42.8251,86.09,21,0,11.97,clear sky
277,Praia,CV,14.9215,-23.5087,79.34,83,20,11.5,few clouds
278,Olinda,BR,-8.0089,-34.8553,78.53,69,40,10.36,scattered clouds
279,Blackfalds,CA,52.3834,-113.7853,61.07,43,76,5.46,broken clouds
280,Valdivia,CL,-39.8142,-73.2459,48.29,96,94,1.81,overcast clouds
281,La Rioja,ES,42.25,-2.5,49.78,57,99,2.57,overcast clouds
282,Malindi,KE,-3.2175,40.1191,74.71,81,14,14.14,few clouds
283,Esil,KZ,51.9556,66.4042,51.04,34,13,9.66,few clouds
284,Mporokoso,ZM,-9.3727,30.125,72.82,34,97,6.53,overcast clouds
285,Xining,CN,36.6167,101.7667,55.89,81,100,2.51,overcast clouds
286,Muroto,JP,33.2833,134.15,81.7,86,100,33.02,light rain
287,Bridgton,US,44.0548,-70.7128,62.78,73,50,4.07,scattered clouds
288,Vila Do Maio,CV,15.1333,-23.2167,79.59,75,73,10.54,broken clouds
289,Erice,IT,38.037,12.5865,71.96,69,20,12.66,few clouds
290,Otjimbingwe,NA,-22.35,16.1333,65.98,55,0,3.02,clear sky
291,Morecambe,GB,54.0684,-2.8611,52.09,81,60,1.01,broken clouds
292,Hasaki,JP,35.7333,140.8333,81.28,84,100,13.38,overcast clouds
293,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,71,75,10.36,broken clouds
294,Nouadhibou,MR,20.931,-17.0347,75.18,73,0,20.71,clear sky
295,Winneba,GH,5.3511,-0.6231,74.82,92,98,7.09,overcast clouds
296,Blythe,US,33.6103,-114.5964,99.05,15,0,14.97,clear sky
297,Andros Town,BS,24.7,-77.7667,85.96,68,82,10.51,broken clouds
298,Kirakira,SB,-10.4544,161.9205,82.65,79,81,12.33,broken clouds
299,Itainopolis,BR,-7.4469,-41.4783,82.81,20,7,5.91,clear sky
300,Liverpool,GB,53.4106,-2.9779,57.7,67,98,7.0,overcast clouds
301,Hofn,IS,64.2539,-15.2082,45.36,83,99,7.25,overcast clouds
302,Vardo,NO,70.3705,31.1107,44.58,93,100,19.57,overcast clouds
303,Ballina,AU,-28.8667,153.5667,67.78,58,82,10.54,broken clouds
304,Egvekinot,RU,66.3167,-179.1667,36.54,88,100,11.88,light rain
305,Leiyang,CN,26.4024,112.8591,76.91,60,4,0.45,clear sky
306,Santa Maria,BR,-29.6842,-53.8069,63.7,63,0,6.91,clear sky
307,Garachine,PA,8.0647,-78.3628,79.41,83,100,7.63,overcast clouds
308,Camopi,GF,3.1655,-52.3158,80.47,58,44,5.73,scattered clouds
309,Lincoln,US,40.8,-96.667,86.86,54,100,10.36,overcast clouds
310,Iqaluit,CA,63.7506,-68.5145,44.33,75,75,19.57,broken clouds
311,Kiunga,PG,-6.1219,141.2906,76.01,92,87,3.56,overcast clouds
312,Beloha,MG,-25.1667,45.05,68.0,63,9,6.89,clear sky
313,Tessalit,ML,20.1986,1.0114,90.45,32,55,13.13,broken clouds
