City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Cherskiy,RU,2022-09-17 01:17:20,68.75,161.3,40.15,65,91,11.99
115,Black Forest,US,2022-09-17 01:17:20,39.0131,-104.7008,69.69,38,100,14.97
116,Elko,US,2022-09-17 01:16:49,41.0002,-115.5012,69.82,31,55,5.99
117,Trelleborg,SE,2022-09-17 01:17:21,55.3751,13.1569,52.99,81,80,13.98
118,College,US,2022-09-17 01:17:21,64.8569,-147.8028,60.75,57,75,4.61
119,Avera,US,2022-09-17 01:17:22,33.194,-82.5271,71.65,61,0,6.8
120,Havelock,US,2022-09-17 01:17:22,34.8791,-76.9013,75.18,86,0,6.46
121,Burnie,AU,2022-09-17 01:17:23,-41.0667,145.9167,52.92,92,100,20.04
122,Yar-Sale,RU,2022-09-17 01:17:23,66.8333,70.8333,48.31,75,100,8.68
123,Manokwari,ID,2022-09-17 01:17:23,-0.8667,134.0833,80.83,75,100,2.91
124,Bonavista,CA,2022-09-17 01:17:24,48.6499,-53.1147,55.4,84,59,13.15
125,Barrow,US,2022-09-17 01:17:24,71.2906,-156.7887,33.82,86,100,27.63
126,Lasa,IT,2022-09-17 01:17:24,46.6166,10.7002,55.36,91,99,7.81
127,Antibes,FR,2022-09-17 01:17:25,43.5624,7.1278,73.67,54,0,9.22
128,Tiksi,RU,2022-09-17 01:17:25,71.6872,128.8694,36.52,98,100,7.85
129,Cape Town,ZA,2022-09-17 01:17:03,-33.9258,18.4232,56.12,84,75,1.14
130,Valdivia,CL,2022-09-17 01:17:02,-39.8142,-73.2459,37.49,100,100,1.34
131,Thompson,CA,2022-09-17 01:14:26,55.7435,-97.8558,57.36,62,40,2.3
132,Avarua,CK,2022-09-17 01:16:41,-21.2078,-159.775,78.85,65,20,14.97
133,Kodarma,IN,2022-09-17 01:17:26,24.4667,85.6,76.59,86,85,3.0
134,Geraldton,AU,2022-09-17 01:17:26,-28.7667,114.6,61.21,82,0,8.05
135,Weener,DE,2022-09-17 01:17:27,53.1667,7.35,55.96,91,100,16.67
136,Bubaque,GW,2022-09-17 01:17:27,11.2833,-15.8333,80.85,84,100,11.05
137,Southampton,GB,2022-09-17 01:13:51,50.904,-1.4043,49.86,74,10,5.41
138,Santa Cruz,BO,2022-09-17 01:17:27,-17.8,-63.1667,71.06,60,20,4.61
139,Tura,IN,2022-09-17 01:17:28,25.5198,90.2201,73.89,97,52,5.23
140,Karabuk,TR,2022-09-17 01:17:28,41.2049,32.6277,69.51,51,83,2.08
141,Cabo San Lucas,MX,2022-09-17 01:16:30,22.8909,-109.9124,88.61,78,0,9.44
142,Agirish,RU,2022-09-17 01:17:29,61.9247,63.0231,47.62,68,100,7.29
143,Karmala,IN,2022-09-17 01:17:29,18.4167,75.2,70.84,92,100,5.75
144,Okato,NZ,2022-09-17 01:17:29,-39.2,173.8833,54.68,56,66,7.65
145,Vila,PT,2022-09-17 01:17:29,42.0304,-8.1588,58.08,90,100,3.71
146,Gizo,SB,2022-09-17 01:17:30,-8.103,156.8419,84.25,62,75,3.71
147,Tuatapere,NZ,2022-09-17 01:17:30,-46.1333,167.6833,53.53,48,100,1.28
148,Makakilo City,US,2022-09-17 01:17:31,21.3469,-158.0858,82.72,68,20,11.5
149,Dunedin,NZ,2022-09-17 01:17:31,-45.8742,170.5036,54.81,61,40,8.01
150,Castro,BR,2022-09-17 01:17:31,-24.7911,-50.0119,48.87,97,59,8.19
151,Kahului,US,2022-09-17 01:17:31,20.8947,-156.47,91.42,54,40,12.66
152,Mayo,US,2022-09-17 01:17:32,38.8876,-76.5119,71.55,90,0,0.0
153,Ponta Delgada,PT,2022-09-17 01:17:32,37.7333,-25.6667,71.51,88,20,5.75
154,Moerai,PF,2022-09-17 01:17:33,-22.4333,-151.3333,73.44,76,49,22.91
155,Praia Da Vitoria,PT,2022-09-17 01:17:33,38.7333,-27.0667,71.85,83,20,8.37
156,Batagay-Alyta,RU,2022-09-17 01:17:33,67.8006,130.4114,40.6,62,100,8.46
157,Samarai,PG,2022-09-17 01:17:33,-10.6167,150.6667,83.91,75,15,14.79
158,Sri Aman,MY,2022-09-17 01:17:34,1.2376,111.4621,78.85,89,20,0.0
159,Yumen,CN,2022-09-17 01:17:34,40.2833,97.2,60.73,29,0,8.05
160,Glazunovka,RU,2022-09-17 01:17:34,52.4986,36.3275,47.37,89,100,7.0
161,Bonanza,NI,2022-09-17 01:17:35,14.0289,-84.591,73.13,99,100,1.66
162,Pimentel,PE,2022-09-17 01:17:35,-6.8367,-79.9342,64.09,87,100,13.2
163,Tatarskaya Kargala,RU,2022-09-17 01:17:35,51.9495,55.1731,59.05,95,100,10.6
164,Linguere,SN,2022-09-17 01:17:36,15.3953,-15.1193,80.2,81,22,6.87
165,Faanui,PF,2022-09-17 01:17:36,-16.4833,-151.75,78.22,72,17,22.21
166,Atar,MR,2022-09-17 01:17:36,20.5169,-13.0499,85.77,29,0,11.25
167,Alta Floresta,BR,2022-09-17 01:17:37,-9.8756,-56.0861,85.8,36,100,4.23
168,Preobrazheniye,RU,2022-09-17 01:17:37,42.9019,133.9064,60.17,96,100,13.8
169,San Patricio,US,2022-09-17 01:17:37,28.017,-97.5169,85.86,66,52,10.98
170,Bukavu,CD,2022-09-17 01:17:38,-2.5083,28.8608,62.06,85,22,2.04
171,Kamaishi,JP,2022-09-17 01:17:38,39.2667,141.8833,76.77,76,100,12.44
172,Beitbridge,ZW,2022-09-17 01:17:38,-22.2167,30.0,66.85,33,0,4.05
173,Lagoa,PT,2022-09-17 01:17:39,39.05,-27.9833,72.79,83,54,12.62
